2026-06-09 18:09:02,678 INFO    MainThread:1098708 [wandb_init.py:setup_run_log_directory():714] Logging user logs to outputs/wandb_logs/wandb/ppo_Qwen3_4B_Instruct_Qwen3_1.7B_webshop_small/wandb/offline-run-20260609_180902-merged_ppo_Qwen3_4B_Instruct_Qwen3_1.7B_webshop_small/logs/debug.log
2026-06-09 18:09:02,679 INFO    MainThread:1098708 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to outputs/wandb_logs/wandb/ppo_Qwen3_4B_Instruct_Qwen3_1.7B_webshop_small/wandb/offline-run-20260609_180902-merged_ppo_Qwen3_4B_Instruct_Qwen3_1.7B_webshop_small/logs/debug-internal.log
2026-06-09 18:09:02,679 INFO    MainThread:1098708 [wandb_init.py:init():841] calling init triggers
2026-06-09 18:09:02,679 INFO    MainThread:1098708 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-09 18:09:02,679 INFO    MainThread:1098708 [wandb_init.py:init():889] starting backend
2026-06-09 18:09:02,679 INFO    MainThread:1098708 [wandb_init.py:init():892] sending inform_init request
2026-06-09 18:09:02,682 INFO    MainThread:1098708 [wandb_init.py:init():900] backend started and connected
2026-06-09 18:09:02,683 INFO    MainThread:1098708 [wandb_init.py:init():970] updated telemetry
2026-06-09 18:09:02,686 INFO    MainThread:1098708 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-06-09 18:09:02,791 INFO    MainThread:1098708 [wandb_init.py:init():1041] starting run threads in backend
2026-06-09 18:09:02,900 INFO    MainThread:1098708 [wandb_run.py:_console_start():2521] atexit reg
2026-06-09 18:09:02,900 INFO    MainThread:1098708 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-06-09 18:09:02,900 INFO    MainThread:1098708 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-06-09 18:09:02,900 INFO    MainThread:1098708 [wandb_run.py:_redirect():2461] Redirects installed.
2026-06-09 18:09:02,900 INFO    MainThread:1098708 [wandb_init.py:init():1081] run started, returning control to user process
2026-06-09 18:09:03,011 INFO    MainThread:1098708 [wandb_run.py:_finish():2287] finishing run webshop/merged_ppo_Qwen3_4B_Instruct_Qwen3_1.7B_webshop_small
2026-06-09 18:09:03,011 INFO    MainThread:1098708 [wandb_run.py:_atexit_cleanup():2486] got exitcode: 0
2026-06-09 18:09:03,012 INFO    MainThread:1098708 [wandb_run.py:_restore():2468] restore
2026-06-09 18:09:03,012 INFO    MainThread:1098708 [wandb_run.py:_restore():2474] restore done
