2026-06-09 17:39:09,938 INFO    MainThread:1089912 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /mnt/shared-storage-user/evobox-share/songfan/project/verl-agent-master/outputs/wandb_logs/wandb/turn_ppo_Qwen3_VL_4B_Instruct_sokoban_256_critic_qwen3-1.7B/wandb/offline-run-20260609_173909-merged_turn_ppo_Qwen3_VL_4B_Instruct_sokoban_256/logs/debug.log
2026-06-09 17:39:09,939 INFO    MainThread:1089912 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /mnt/shared-storage-user/evobox-share/songfan/project/verl-agent-master/outputs/wandb_logs/wandb/turn_ppo_Qwen3_VL_4B_Instruct_sokoban_256_critic_qwen3-1.7B/wandb/offline-run-20260609_173909-merged_turn_ppo_Qwen3_VL_4B_Instruct_sokoban_256/logs/debug-internal.log
2026-06-09 17:39:09,939 INFO    MainThread:1089912 [wandb_init.py:init():850] calling init triggers
2026-06-09 17:39:09,939 INFO    MainThread:1089912 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-06-09 17:39:09,939 INFO    MainThread:1089912 [wandb_init.py:init():898] starting backend
2026-06-09 17:39:09,939 INFO    MainThread:1089912 [wandb_init.py:init():913] sending inform_init request
2026-06-09 17:39:10,052 INFO    MainThread:1089912 [wandb_init.py:init():918] backend started and connected
2026-06-09 17:39:10,053 INFO    MainThread:1089912 [wandb_init.py:init():988] updated telemetry
2026-06-09 17:39:10,056 INFO    MainThread:1089912 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-06-09 17:39:10,057 INFO    MainThread:1089912 [wandb_init.py:init():1056] starting run threads in backend
2026-06-09 17:39:10,622 INFO    MainThread:1089912 [wandb_run.py:_console_start():2554] atexit reg
2026-06-09 17:39:10,622 INFO    MainThread:1089912 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-06-09 17:39:10,622 INFO    MainThread:1089912 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-06-09 17:39:10,622 INFO    MainThread:1089912 [wandb_run.py:_redirect():2495] Redirects installed.
2026-06-09 17:39:10,622 INFO    MainThread:1089912 [wandb_init.py:init():1094] run started, returning control to user process
2026-06-09 17:39:10,640 INFO    MainThread:1089912 [wandb_run.py:_finish():2321] finishing run sokoban/merged_turn_ppo_Qwen3_VL_4B_Instruct_sokoban_256
2026-06-09 17:39:10,641 INFO    MainThread:1089912 [wandb_run.py:_atexit_cleanup():2520] got exitcode: 0
2026-06-09 17:39:10,641 INFO    MainThread:1089912 [wandb_run.py:_restore():2502] restore
2026-06-09 17:39:10,641 INFO    MainThread:1089912 [wandb_run.py:_restore():2508] restore done
